X,population,gdp_per_capita,human_development_index,v2x_libdem,v2x_freexp_altinf,median_age,aged_70_older,life_expectancy,stringency_index,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,democracy,PR.rating,CL.rating,Total,democ,autoc,polity,polity2,area_ifr,pop.2020,pop.adult,pop.60plus,cases,new_cases_7dma,cases.100k.pop,new.cases.100k.pop,deaths,cfr,total.vaccinations,first.dose,second.dose,first.dose.pct,second.dose.pct,vaccinations.perday.100k.pop,log_gdp_ppp,case_ir,death_r,pred_ir,pred_ir_low,pred_ir_high,pred_cases,pred_cases_low,pred_cases_high,iso3c,region,date
787,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,NA,NA,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-02
788,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,4,0.138995065675169,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-03
789,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,4,0.138995065675169,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-04
790,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,5,0.173743832093961,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-05
791,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,5,0.173743832093961,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-06
792,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,5,0.173743832093961,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-07
793,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,8.33,NA,NA,NA,NA,4,0.138995065675169,NA,1,3,3,67,9,0,9,9,0.616849351969257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALB,Europe,2020-03-08
794,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,36.11,NA,NA,NA,NA,7,0.243241364931545,NA,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,2,NA,0.0694975328375843,NA,0,0,NA,NA,NA,NA,NA,NA,-11.232899983776,6.94975328375843e-7,0,0,0,0.0069666028110056,0,0,20048.4895695119,ALB,Europe,2020-03-09
795,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,41.67,NA,NA,NA,NA,11,0.382236430606713,NA,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,10,NA,0.347487664187921,NA,0,0,NA,NA,NA,NA,NA,NA,-11.232899983776,3.47487664187921e-6,0,0,0,0.0090821952765516,0,0,26136.7415668602,ALB,Europe,2020-03-10
796,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,51.85,NA,NA,NA,NA,16,0.555980262700674,NA,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,12,NA,0.416985197025506,NA,1,8.333,NA,NA,NA,NA,NA,NA,-11.232899983776,4.16985197025506e-6,3.47487664187921e-7,5.87672444283371e-4,0,0.011283653842605,1691.20376015869,0,32472.0990282488,ALB,Europe,2020-03-11
797,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,51.85,NA,NA,NA,NA,35,1.21620682465772,NA,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,23,NA,0.799221627632219,NA,1,4.348,NA,NA,NA,NA,NA,NA,-11.232899983776,7.99221627632219e-6,3.47487664187921e-7,0.00130280878373552,0,0.0132100544350129,3749.22311783407,0,38015.8946530801,ALB,Europe,2020-03-12
798,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,78.7,NA,NA,NA,NA,58,2.01542845228994,NA,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,33,NA,1.14670929182014,NA,1,3.03,NA,NA,NA,NA,NA,NA,-11.232899983776,1.14670929182014e-5,3.47487664187921e-7,0.00198941189163635,0,0.0148292176921266,5725.12954175109,0,42675.5226744019,ALB,Europe,2020-03-13
799,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,78.7,0.143,0.00496907359788728,5.429,0.188651052887623,64,2.2239210508027,8.5,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,38,NA,1.3204531239141,NA,1,2.632,NA,NA,NA,NA,NA,NA,-11.232899983776,1.3204531239141e-5,3.47487664187921e-7,0.00277866333119927,0,0.0163438832426719,7996.43733452526,0,47034.4271957613,ALB,Europe,2020-03-14
800,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,6,0.208492598512753,68,2.36291611647787,8.8,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,42,NA,1.45944818958927,NA,1,2.381,NA,NA,NA,NA,NA,NA,-11.232899983776,1.45944818958927e-5,3.47487664187921e-7,0.00399937320018816,0,0.0194170478087122,11509.3961955015,0,55878.3801839119,ALB,Europe,2020-03-15
801,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,7,0.243241364931545,69,2.39766488289666,10.1,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,51,7,1.7721870873584,0.243241364931545,1,1.961,NA,NA,NA,NA,NA,NA,-11.232899983776,1.7721870873584e-5,3.47487664187921e-7,0.00545006411444832,0,0.0226844595611656,15684.1945085594,0,65281.3377251225,ALB,Europe,2020-03-16
802,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,6.429,0.223399819306415,70,2.43241364931545,9.2,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,55,6.42857142857143,1.91118215303357,0.223384926977949,1,1.818,NA,NA,NA,NA,NA,NA,-11.232899983776,1.91118215303357e-5,3.47487664187921e-7,0.00734233508153026,1.40763179092231e-4,0.0263282383162373,21129.7718976278,405.088276791624,75767.4042264676,ALB,Europe,2020-03-17
803,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,6.714,0.23330321773577,73,2.53665994857183,9.2,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,59,6.71428571428571,2.05017721870874,0.233313145954747,2,3.39,NA,NA,NA,NA,NA,NA,-11.232899983776,2.05017721870874e-5,6.94975328375843e-7,0.00949469180050775,6.10110762915102e-4,0.0295449339554674,27323.8240635012,1755.77675351708,85024.410937044,ALB,Europe,2020-03-18
804,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,5.857,0.203523524914866,57,1.98067968587115,10.3,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,64,5.85714285714286,2.2239210508027,0.203528489024354,2,3.125,NA,NA,NA,NA,NA,NA,-11.232899983776,2.2239210508027e-5,6.94975328375843e-7,0.0120326504306127,0.00153159004627989,0.0322689913200318,34627.5614092171,4407.60983518426,92863.7032207875,ALB,Europe,2020-03-19
805,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,5.286,0.183681979289735,39,1.35520189033289,13.6,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,70,5.28571428571429,2.43241364931545,0.183672051070758,2,2.857,NA,NA,NA,NA,NA,NA,-11.232899983776,2.43241364931545e-5,6.94975328375843e-7,0.0150501284615014,0.00299019163014358,0.0350944314554887,43311.2596865087,8605.17347322718,100994.754842606,ALB,Europe,2020-03-20
806,2877800,11803.431,0.795,0.431,0.617,38,8.643,78.57,81.48,0.143,0.00496907359788728,5.429,0.188651052887623,39,1.35520189033289,13.9,1,3,3,67,9,0,9,9,0.616849351969257,2877800,2182190,609628,76,5.42857142857143,2.6409062478282,0.188636160559157,2,2.632,NA,NA,NA,NA,NA,NA,-11.232899983776,2.6409062478282e-5,6.94975328375843e-7,0.0184771911719173,0.00491721335633024,0.0380419215074224,53173.6607545437,14150.7565968472,109477.04171406,ALB,Europe,2020-03-21
